,sex,age,race,priors_count,score_factor,felony
1,1,34,0,0,1,1
2,1,24,0,4,1,1
6,1,41,1,14,0,1
8,0,39,1,0,1,0
10,1,27,1,0,1,1
11,1,23,0,3,0,0
12,0,37,1,0,1,0
13,1,41,0,0,1,1
14,0,47,1,1,1,1
15,1,31,0,7,1,1
17,1,25,0,3,0,1
18,1,31,1,6,0,1
19,1,31,1,5,1,1
20,1,64,0,13,0,1
21,1,21,0,1,0,1
22,1,27,1,0,1,0
23,0,21,1,0,1,1
25,1,43,1,1,1,0
27,1,27,0,8,1,1
29,1,26,0,5,0,1
30,1,33,0,0,0,1
31,1,30,1,9,0,1
32,1,32,0,4,0,1
33,1,55,1,0,1,1
36,0,33,1,4,0,0
37,1,24,1,1,1,0
38,1,34,0,21,0,1
39,1,29,1,0,1,0
40,0,21,0,2,0,1
41,1,51,0,2,1,0
42,1,29,1,2,1,0
43,0,51,0,7,1,1
44,1,29,0,0,0,1
45,1,25,1,9,0,0
46,1,35,0,13,0,1
47,1,49,1,0,1,0
49,1,29,0,0,1,1
50,1,29,1,1,1,1
54,1,31,0,15,0,1
55,1,24,0,2,1,1
57,1,49,0,4,1,0
58,1,53,1,8,0,1
59,1,35,0,5,1,1
61,1,27,0,15,0,1
62,1,38,1,4,1,0
63,1,22,0,1,1,1
65,1,29,0,4,0,1
67,1,27,0,6,0,1
69,0,56,0,0,1,0
72,1,39,0,1,1,0
73,1,29,0,5,0,1
74,1,27,1,1,0,1
75,1,40,0,2,1,1
76,1,22,0,1,1,0
77,1,22,1,0,0,1
78,0,26,0,1,1,1
80,1,32,0,0,1,1
81,1,41,0,1,1,0
82,1,30,0,8,0,0
84,1,25,0,14,0,1
86,1,22,0,2,0,1
88,0,35,0,1,1,0
89,1,36,0,9,0,1
90,1,26,1,7,0,1
92,1,25,1,9,0,1
94,0,20,1,0,0,1
95,1,39,1,2,1,1
97,0,54,1,0,1,0
99,1,19,0,1,1,0
101,1,30,0,1,1,1
102,0,39,1,0,1,1
103,1,24,1,8,0,1
104,1,30,1,0,1,1
105,1,31,1,0,0,0
106,0,39,1,1,1,1
108,1,43,1,1,1,1
109,1,21,0,3,0,1
110,1,38,1,5,1,0
111,1,34,1,0,0,1
112,1,33,0,5,0,1
113,1,37,0,3,1,1
114,1,42,1,1,1,1
115,1,41,0,10,0,1
116,1,22,0,0,1,1
117,1,33,0,28,0,1
118,1,31,0,1,0,0
120,1,31,1,13,0,1
121,1,27,0,3,0,1
123,1,52,1,3,0,0
124,1,33,0,19,0,1
127,1,42,1,6,1,1
128,0,25,1,2,1,1
129,1,30,1,1,1,0
132,1,28,1,0,1,0
133,0,24,0,0,1,0
134,0,29,1,10,1,1
135,1,44,1,2,1,0
137,1,32,0,3,0,1
138,1,31,1,2,1,0
139,1,31,0,1,1,0
140,1,59,1,1,1,1
142,0,20,0,1,0,1
143,0,43,1,0,1,0
144,1,38,0,9,0,1
145,1,32,0,11,0,1
146,1,33,0,8,0,0
147,0,31,0,0,1,1
148,0,33,0,7,0,1
149,1,27,0,2,0,1
150,0,20,0,0,0,1
151,0,26,1,0,0,0
152,0,61,0,1,1,1
155,0,32,0,4,0,1
158,0,26,0,2,1,0
160,1,39,1,1,1,0
161,0,30,1,3,0,1
162,1,30,0,1,0,1
163,1,48,1,2,1,0
164,1,22,0,1,1,1
165,1,46,1,6,1,1
167,1,31,1,0,0,1
168,1,25,0,1,1,0
170,0,32,0,5,0,1
172,1,62,0,8,1,1
176,1,28,0,6,0,0
179,1,78,1,1,1,0
180,1,56,1,0,1,1
183,1,22,0,1,0,1
184,1,47,0,23,0,0
185,1,23,0,0,1,0
188,1,66,0,3,1,1
189,1,45,1,8,1,0
192,1,37,0,2,0,0
193,1,39,1,0,1,1
194,1,26,0,9,0,1
195,1,45,1,2,1,1
196,1,23,0,0,1,1
197,1,34,0,2,1,0
198,0,23,0,1,1,0
200,1,50,1,1,1,1
201,0,37,1,0,1,0
202,1,44,1,4,1,0
203,0,35,0,23,0,1
205,1,26,0,2,0,1
206,1,27,0,0,1,0
207,0,28,0,0,0,1
209,0,28,1,7,0,1
210,1,38,0,2,1,1
212,0,28,0,1,0,1
213,1,56,1,7,1,1
214,1,38,0,15,0,1
215,1,28,0,2,0,0
219,0,51,1,0,1,0
220,1,51,1,0,1,0
222,1,48,0,0,1,1
223,1,37,1,4,1,1
224,0,30,0,2,0,1
225,0,41,0,5,0,0
226,1,27,0,11,0,1
227,1,37,0,0,1,0
229,1,54,0,11,0,1
230,1,23,0,2,0,1
232,1,41,0,0,1,0
233,1,52,1,0,1,1
234,1,43,1,13,1,1
235,1,52,0,0,1,1
236,1,28,1,1,1,1
237,1,30,0,11,0,0
238,1,28,1,1,0,1
239,1,22,0,0,1,1
240,1,30,0,4,1,1
242,1,31,1,0,0,1
243,1,37,1,0,1,1
244,1,32,0,14,0,1
246,1,53,1,1,1,0
247,1,28,0,25,0,1
248,1,44,1,8,0,0
249,1,25,0,0,1,1
250,1,22,1,1,0,0
260,0,23,1,5,0,1
262,1,29,0,1,1,0
263,1,20,0,1,0,1
264,1,30,0,2,0,1
266,1,27,0,4,1,1
268,0,37,0,2,1,1
269,1,20,0,0,0,1
271,0,52,0,0,1,1
272,0,23,0,0,1,1
273,0,48,0,0,1,1
275,1,25,1,0,0,1
276,1,27,1,0,0,1
277,1,30,0,11,0,1
278,1,22,0,3,0,0
279,0,22,1,1,1,1
282,0,41,0,2,1,0
285,1,52,0,3,0,1
286,1,43,0,0,1,1
287,1,37,1,3,1,1
289,1,70,1,1,1,0
291,1,46,1,3,1,1
292,1,21,0,0,0,0
293,1,26,0,1,0,0
295,1,34,1,5,1,0
297,1,34,0,5,1,0
298,1,23,1,0,0,1
299,1,34,0,5,1,1
301,1,39,0,6,1,1
304,1,58,1,2,1,1
305,0,21,0,0,0,0
307,1,23,0,4,0,0
308,1,62,1,0,1,1
310,1,37,1,5,1,1
312,0,32,0,5,1,1
314,1,27,0,0,1,0
315,1,44,1,0,1,0
