,age,workclass,fnlwgt,education,education_num,martial_status,occupation,relationship,race,sex,capital_gain,capital_loss,hours_per_week,country,target,biased_pred,adv_pred,lfr_pred,eq_pred,adv_change,lfr_change,eq_change,nch
258,45,Private,187666,Assoc-voc,11,Widowed,Exec-managerial,Not-in-family,White,Female,0,0,45,United-States,0,0,0.0,0,0,0.0,0,0,0.0
26976,19,Private,164585,HS-grad,9,Never-married,Machine-op-inspct,Own-child,White,Female,0,0,40,United-States,0,0,0.0,0,0,0.0,0,0,0.0
9335,38,Private,104089,Assoc-voc,11,Never-married,Craft-repair,Own-child,White,Male,0,0,40,United-States,0,0,0.0,0,0,0.0,0,0,0.0
5764,54,Private,88278,Doctorate,16,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,1977,50,United-States,1,1,1.0,1,1,0.0,0,0,0.0
28351,33,Private,159548,Some-college,10,Divorced,Adm-clerical,Unmarried,Black,Female,0,0,38,United-States,0,0,0.0,0,0,0.0,0,0,0.0
16891,36,Private,33355,Some-college,10,Never-married,Other-service,Own-child,White,Male,0,0,45,United-States,0,0,0.0,0,0,0.0,0,0,0.0
23040,40,Private,51290,Masters,14,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,50,United-States,1,1,0.0,1,0,-1.0,0,-1,2.0
14368,48,Self-emp-inc,56975,HS-grad,9,Divorced,Sales,Unmarried,Asian-Pac-Islander,Female,0,0,84,,0,0,0.0,0,0,0.0,0,0,0.0
22926,51,Private,138358,10th,6,Divorced,Craft-repair,Not-in-family,Black,Female,0,0,35,United-States,0,0,0.0,0,0,0.0,0,0,0.0
24958,24,Local-gov,387108,Some-college,10,Married-civ-spouse,Protective-serv,Husband,Black,Male,0,0,40,United-States,0,0,0.0,0,0,0.0,0,0,0.0
8683,58,Private,202652,HS-grad,9,Widowed,Adm-clerical,Not-in-family,White,Female,0,0,37,United-States,0,0,0.0,0,0,0.0,0,0,0.0
27323,52,Private,89054,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,40,United-States,0,0,0.0,0,0,0.0,0,0,0.0
16078,35,Private,107125,Bachelors,13,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,16,United-States,1,0,0.0,1,0,0.0,1,0,1.0
21588,37,Private,215503,HS-grad,9,Married-civ-spouse,Exec-managerial,Husband,White,Male,4386,0,45,United-States,1,1,1.0,0,1,0.0,-1,0,1.0
12018,45,Private,178319,Doctorate,16,Married-civ-spouse,Prof-specialty,Husband,White,Male,7688,0,50,United-States,1,1,1.0,1,1,0.0,0,0,0.0
16619,36,Private,175360,Masters,14,Never-married,Adm-clerical,Not-in-family,White,Male,13550,0,50,United-States,1,1,1.0,0,1,0.0,-1,0,1.0
10479,39,Private,204501,Masters,14,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,50,United-States,1,1,1.0,1,1,0.0,0,0,0.0
26385,29,Federal-gov,107411,Some-college,10,Married-spouse-absent,Adm-clerical,Own-child,White,Female,0,0,40,United-States,0,0,0.0,0,0,0.0,0,0,0.0
14753,56,Private,99359,HS-grad,9,Divorced,Adm-clerical,Unmarried,White,Female,0,1617,40,United-States,0,0,0.0,0,0,0.0,0,0,0.0
20428,22,Private,113936,Some-college,10,Never-married,Handlers-cleaners,Own-child,White,Male,0,0,40,United-States,0,0,0.0,0,0,0.0,0,0,0.0
17540,48,Private,143098,Doctorate,16,Married-civ-spouse,Prof-specialty,Husband,Asian-Pac-Islander,Male,0,1902,40,China,1,1,1.0,1,1,0.0,0,0,0.0
25647,22,Private,218886,12th,8,Never-married,Handlers-cleaners,Own-child,Amer-Indian-Eskimo,Male,0,0,40,United-States,0,0,0.0,0,0,0.0,0,0,0.0
16191,36,Private,116608,HS-grad,9,Never-married,Adm-clerical,Not-in-family,White,Female,4865,0,40,United-States,0,0,0.0,0,0,0.0,0,0,0.0
