,adv_change,occupation,count
2,-1,Exec-managerial,177
1,-1,Craft-repair,120
7,-1,Prof-specialty,115
9,-1,Sales,99
8,-1,Protective-serv,55
10,-1,Tech-support,43
11,-1,Transport-moving,37
0,-1,Adm-clerical,27
5,-1,Machine-op-inspct,21
3,-1,Farming-fishing,9
4,-1,Handlers-cleaners,5
6,-1,Other-service,1
14,0,Craft-repair,1927
12,0,Adm-clerical,1735
21,0,Prof-specialty,1719
15,0,Exec-managerial,1649
19,0,Other-service,1621
23,0,Sales,1599
18,0,Machine-op-inspct,928
25,0,Transport-moving,763
17,0,Handlers-cleaners,701
16,0,Farming-fishing,502
24,0,Tech-support,362
22,0,Protective-serv,297
20,0,Priv-house-serv,74
13,0,Armed-Forces,6
33,1,Prof-specialty,207
28,1,Exec-managerial,180
26,1,Adm-clerical,119
35,1,Sales,98
36,1,Tech-support,39
32,1,Other-service,26
31,1,Machine-op-inspct,14
37,1,Transport-moving,10
27,1,Craft-repair,8
30,1,Handlers-cleaners,7
34,1,Protective-serv,5
29,1,Farming-fishing,3
