,eq_change,occupation,count
7,-1,Prof-specialty,173
2,-1,Exec-managerial,166
9,-1,Sales,140
1,-1,Craft-repair,115
8,-1,Protective-serv,39
11,-1,Transport-moving,39
0,-1,Adm-clerical,29
10,-1,Tech-support,21
5,-1,Machine-op-inspct,13
3,-1,Farming-fishing,4
4,-1,Handlers-cleaners,4
6,-1,Other-service,2
14,0,Craft-repair,1927
21,0,Prof-specialty,1746
12,0,Adm-clerical,1744
15,0,Exec-managerial,1740
19,0,Other-service,1621
23,0,Sales,1587
18,0,Machine-op-inspct,936
25,0,Transport-moving,763
17,0,Handlers-cleaners,703
16,0,Farming-fishing,508
24,0,Tech-support,405
22,0,Protective-serv,305
20,0,Priv-house-serv,74
13,0,Armed-Forces,6
33,1,Prof-specialty,122
26,1,Adm-clerical,108
28,1,Exec-managerial,100
35,1,Sales,69
32,1,Other-service,25
36,1,Tech-support,18
31,1,Machine-op-inspct,14
27,1,Craft-repair,13
34,1,Protective-serv,13
37,1,Transport-moving,8
30,1,Handlers-cleaners,6
29,1,Farming-fishing,2
