,sex,biased_score
6235,1,0.3902655243873596
49276,0,0.026283085346221924
7891,0,0.06174570694565773
17572,1,0.925398051738739
34628,0,0.06975632905960083
5236,0,0.8608558177947998
1659,1,0.4415179193019867
31303,1,0.5506294369697571
19993,1,0.3373814821243286
45564,0,0.04504237323999405
17681,1,0.37004807591438293
17172,0,0.07631801813840866
8232,0,0.8671730756759644
42571,1,0.10411743819713593
10382,1,0.9160712957382202
41667,1,0.580453097820282
49893,0,0.13613057136535645
36846,0,0.8608558177947998
53746,0,0.20889106392860413
24720,1,0.933598518371582
7438,1,0.4271640181541443
31916,0,0.023789668455719948
60352,1,0.09814440459012985
28281,1,0.8817625045776367
42065,0,0.006939058657735586
60142,0,0.2310764640569687
22222,1,0.049524497240781784
6185,0,0.15268056094646454
46875,0,0.09626597166061401
12645,1,0.1810367852449417
54001,0,0.1822083294391632
14965,1,0.017238326370716095
38443,0,0.8575028777122498
31047,1,0.925398051738739
2573,1,0.37004807591438293
53354,0,0.8440980315208435
14744,1,0.12652309238910675
39076,1,0.20590651035308838
35787,0,0.36628565192222595
38926,1,0.017238326370716095
55639,0,0.8614852428436279
24105,1,0.5754228234291077
8716,1,0.09814440459012985
46586,1,0.4271640181541443
39047,0,0.052404388785362244
45536,0,0.05810455232858658
42866,1,0.9399562478065491
54072,1,0.24893395602703094
11990,0,0.023789668455719948
4268,0,0.18655365705490112
35934,0,0.1729944944381714
32087,1,0.2128710001707077
931,0,0.8024867177009583
32856,1,0.9449265599250793
5034,1,0.580453097820282
29007,1,0.9575334191322327
34513,0,0.8608558177947998
4992,1,0.45627522468566895
33987,1,0.22940102219581604
4147,1,0.2676866352558136
46465,0,0.6118282079696655
16829,1,0.07237834483385086
42118,1,0.7031369209289551
47238,1,0.933598518371582
4604,0,0.8609932661056519
47419,1,0.7963873744010925
30357,1,0.8530142903327942
55983,0,0.06228902190923691
17501,1,0.7963873744010925
52230,1,0.052815116941928864
6148,1,0.9889562129974365
22594,1,0.925398051738739
36715,1,0.5685655474662781
34556,1,0.5745612382888794
34986,0,0.06174570694565773
57999,1,0.5745612382888794
44356,1,0.9075115323066711
36232,0,0.006939058657735586
8453,1,0.8827675580978394
46139,1,0.09814440459012985
17724,1,0.9033746719360352
8036,0,0.13682116568088531
17579,0,0.17560960352420807
15610,1,0.19428986310958862
22902,0,0.006939058657735586
52039,0,0.17560960352420807
38896,0,0.03592991828918457
24560,0,0.17560960352420807
1750,1,0.14361505210399628
37916,0,0.8143014907836914
1209,1,0.5745612382888794
6885,0,0.6659424304962158
28979,0,0.10276306420564651
38040,1,0.8927527666091919
52553,0,0.060259316116571426
35446,0,0.06228902190923691
23931,0,0.006939058657735586
39286,0,0.9160597920417786
2514,1,0.052815116941928864
49632,0,0.045898422598838806
27893,1,0.5685655474662781
3897,0,0.09689915925264359
21361,1,0.5754228234291077
50611,0,0.8462326526641846
21095,0,0.8614852428436279
9472,0,0.0319407619535923
1953,1,0.6945123076438904
57930,1,0.5745612382888794
20571,1,0.8152665495872498
35120,1,0.5754228234291077
50230,0,0.20889106392860413
26867,0,0.0771668404340744
23687,1,0.9539139866828918
25479,0,0.06174570694565773
50281,0,0.1729944944381714
1597,0,0.22236759960651398
13655,1,0.37004807591438293
2698,1,0.17097967863082886
27203,0,0.1641095131635666
19126,1,0.5506294369697571
51551,1,0.9449265599250793
48991,0,0.0809527114033699
30238,1,0.8817625045776367
21970,1,0.929800808429718
42657,1,0.9358160495758057
52396,0,0.01862112618982792
35737,1,0.37004807591438293
50490,1,0.24298344552516937
29589,0,0.18655365705490112
60029,0,0.1641095131635666
14807,0,0.07631801813840866
2803,0,0.057053156197071075
30909,1,0.9449434280395508
8126,1,0.580453097820282
27583,0,0.04205218702554703
60017,1,0.052815116941928864
22229,1,0.5506294369697571
42004,1,0.04154786467552185
23946,1,0.5754228234291077
629,0,0.8609932661056519
19370,1,0.9449434280395508
5561,1,0.9536880850791931
40180,1,0.11943545192480087
57242,1,0.9299434423446655
27487,0,0.8908093571662903
59248,1,0.5506294369697571
48579,0,0.8609932661056519
53023,1,0.035455524921417236
19180,0,0.8575028777122498
22440,0,0.18655365705490112
22285,0,0.1641095131635666
15516,1,0.4271640181541443
30467,1,0.8128947615623474
30067,1,0.3772783577442169
57198,1,0.2995470464229584
55725,1,0.7765515446662903
20513,0,0.015434781089425087
46368,0,0.7400627136230469
32083,1,0.9399562478065491
41702,1,0.6239414215087891
13736,0,0.02328965812921524
48895,1,0.580453097820282
39998,0,0.42653748393058777
59904,1,0.925398051738739
48068,1,0.8530142903327942
7034,1,0.5506294369697571
32316,0,0.06174570694565773
50183,1,0.15300221741199493
36925,0,0.8462326526641846
21010,1,0.30846983194351196
5587,0,0.8609932661056519
35628,1,0.5472475290298462
53257,0,0.13613057136535645
25281,1,0.9399562478065491
31935,1,0.9449434280395508
36153,1,0.8817625045776367
6724,1,0.22940102219581604
56885,1,0.5754228234291077
12671,1,0.951915979385376
18573,0,0.023789668455719948
48477,0,0.13682116568088531
45494,1,0.17097967863082886
25193,0,0.17560960352420807
39684,1,0.24893395602703094
23315,0,0.06228902190923691
47067,1,0.5754228234291077
25463,1,0.1916334480047226
39581,1,0.8817625045776367
55064,1,0.9536880850791931
8164,0,0.1918390989303589
53131,0,0.17560960352420807
43742,1,0.933598518371582
37986,0,0.7160694003105164
47669,1,0.37004807591438293
58298,1,0.22940102219581604
36287,1,0.2772219479084015
40461,0,0.7400627136230469
9000,1,0.16202878952026367
47825,0,0.07631801813840866
35558,1,0.8276759386062622
3938,0,0.06174570694565773
28559,0,0.1641095131635666
15375,0,0.8462326526641846
36306,1,0.6213075518608093
57491,0,0.8614852428436279
26779,0,0.03974485397338867
21554,0,0.9444751739501953
