,Run,Accuracy,Balanced Accuracy,P%-rule,Number of instances changed,% of predictions changed
0,1,75.12744124462098,74.94294739600792,87.99407104981069,5536,18.325057927838465
1,2,71.40019860973187,71.73922048095122,92.9672810200991,7008,23.19761668321748
2,3,75.04137702747434,75.17187298617019,88.20417690069344,5420,17.941079112876533
3,4,73.58490566037736,73.72731424515545,89.66193478651454,5446,18.027143330023172
4,5,72.28070175438597,71.87910336959548,92.16173567538657,6542,21.65508109897385
5,6,73.59814630916915,73.19608302959773,88.39145871474422,5978,19.788149619331346
6,7,72.60840781198279,72.28500931323293,90.95754424632449,6417,21.241310824230386
7,8,74.22045680238331,74.21198270056884,88.31123937206148,5674,18.781860311155246
8,9,74.49851042701093,74.47636432535577,88.17191103790603,5516,18.258854683879512
9,10,74.41575637206223,74.38848993204962,88.16079166958598,5461,18.076795762992386
