,Run,Accuracy,Balanced Accuracy,P%-rule,Number of instances changed,% of predictions changed
0,1,80.47666335650447,80.06785755499541,70.94462058130065,3686,12.20125786163522
1,2,80.97649784839457,80.54928290630134,70.70360940162146,3437,11.377027474346244
2,3,80.23833167825224,79.91898534845735,74.93099326109174,3840,12.711022840119165
3,4,80.60575968222443,80.11757951367531,69.2031278826089,3653,12.092022509102945
4,5,80.46011254551473,79.95092371885714,68.51273573865346,3729,12.343594836146972
5,6,79.55312810327706,79.02563020453688,68.2264366784192,4071,13.475670307845084
6,7,77.8417742469381,77.97808253794622,74.81883581008535,3674,12.161535915259849
7,8,80.79112876530951,80.40801403818413,72.67319208199082,3451,11.42336974511751
8,9,79.67891426679907,79.13007858406966,68.20693255397411,4103,13.58159549817941
9,10,80.98311817279047,80.53047444001477,70.56442968419402,3483,11.529294935451837
